City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Darmanesti,0,RO,1527823800,63,46.37,26.48,60.8,5.82
Hienghene,0,NC,1527825341,100,-20.68,164.93,74.63,1.59
San Jose de Rio Tinto,40,HN,1527822000,88,14.93,-85.7,78.8,4.7
South Lyon,90,US,1527824700,61,42.45,-83.66,78.8,6.93
Vammala,0,FI,1527823200,66,61.34,22.91,50.0,4.7
Goa,12,PH,1527825343,86,13.7,123.49,87.14,3.94
Fraijanes,75,GT,1527822000,93,14.47,-90.43,66.2,1.48
Cuautitlan Izcalli,5,MX,1527824640,35,19.65,-99.25,69.8,8.05
Mayskiy,75,RU,1527822000,68,43.63,44.06,64.4,4.47
Khrisokhorafa,0,GR,1527825345,65,41.18,23.23,52.13,3.38
Moshenskoye,0,RU,1527825346,69,58.52,34.59,41.6,4.72
Darabani,0,RO,1527823800,63,48.19,26.6,64.4,9.17
Xichang,92,CN,1527825347,100,27.88,102.25,54.65,1.48
Livezile,0,RO,1527825347,80,47.18,24.57,51.5,2.04
Prunisor,8,RO,1527825348,86,44.61,22.92,60.23,2.82
Guaitarilla,20,CO,1527825349,94,1.13,-77.55,49.25,1.92
Novosedlice,0,CZ,1527823800,72,50.66,13.82,64.4,2.24
Lanaken,48,BE,1527823740,93,50.89,5.65,64.4,2.24
Zilupe,0,RU,1527825350,76,56.39,28.12,47.9,3.15
Kinalansan,12,PH,1527825351,86,13.7,123.55,87.14,3.94
Asifabad,48,IN,1527825351,65,19.38,79.29,87.95,4.61
Tangermunde,24,DE,1527825352,60,52.54,11.98,71.75,4.72
Chotebor,0,CZ,1527822000,82,49.72,15.67,64.4,2.24
Dambulla,88,LK,1527825353,88,7.87,80.65,78.68,14.79
Platikambos,20,GR,1527823200,59,39.62,22.53,60.8,5.82
Chandler,5,US,1527821940,13,33.31,-111.84,93.2,13.87
Raxaul,92,IN,1527825355,95,26.98,84.85,75.08,8.86
Masaki,20,JP,1527822000,53,33.79,132.71,75.2,16.11
Tamiami,40,US,1527823800,83,25.76,-80.4,80.6,7.63
Porto Alegre,90,BR,1527822000,93,-30.03,-51.23,66.2,2.24
Plopii Slavitesti,0,RO,1527825358,79,43.97,24.68,61.13,2.71
San Matias,75,HN,1527822000,83,13.97,-86.63,71.6,2.59
Indaial,20,BR,1527822000,100,-26.9,-49.24,62.6,4.7
Recas,20,ES,1527823800,93,40.05,-3.99,55.4,2.24
Krasnyy Yar,0,RU,1527825360,38,50.7,44.73,44.03,13.11
Bajah,12,YE,1527825361,89,13.81,44.63,59.78,1.7
Botolan,75,PH,1527822000,63,15.29,120.02,93.2,13.87
Akom,12,GH,1527825362,97,6.86,-1.64,72.02,4.94
Saint Louis Park,1,US,1527824160,73,44.95,-93.35,75.2,8.05
Tabontabon,44,PH,1527825363,100,11.04,124.96,82.1,4.27
Dunavecse,0,HU,1527823800,100,46.92,18.97,59.0,2.93
Makiling,40,PH,1527822000,56,14.15,121.14,93.2,12.75
Morales,20,CO,1527825365,93,8.28,-73.87,76.61,3.49
Ano Mera,20,GR,1527823200,77,37.45,25.4,66.2,13.87
Gmunden,75,AT,1527823200,72,47.92,13.8,66.2,6.93
Lodja,0,CD,1527825367,94,-3.52,23.6,68.96,2.26
Bougouni,0,ML,1527825367,89,11.42,-7.49,73.28,2.71
Basiad,24,PH,1527825368,95,14.16,122.34,86.96,6.73
Polonnaruwa,0,LK,1527825164,67,7.94,81.0,86.33,14.34
Tandahimba,0,TZ,1527825369,94,-10.76,39.63,65.72,5.95
Town and Country,90,US,1527825060,74,38.61,-90.46,78.8,5.82
Aroysund,0,NO,1527823200,87,59.18,10.46,53.6,3.36
Workington,36,GB,1527825370,91,54.64,-3.55,58.88,3.38
